Country	Country ISO3	Country Code	Long Name	Income Group	Lending Category	Region	Currency Unit	Other Groups	WTO Member	latitude	longitude
Philippines	PHL	608	Republic of the Philippines	Lower middle income	IBRD	East Asia & Pacific	Philippine peso		Yes	12.879721	121.774017
Pitcairn	PCN	612		Others					No		
Poland	POL	616	Republic of Poland	High income: OECD	IBRD	Europe & Central Asia	Polish zloty		Yes	51.919438	19.145136
Portugal	PRT	620	Portuguese Republic	High income: OECD		Europe & Central Asia	Euro	Euro area	Yes	39.399872	-8.224454
Qatar	QAT	634	State of Qatar	High income: nonOECD		Middle East & North Africa	Qatari riyal		Yes	25.354826	51.183884
Reunion	REU	638		Others					No		
Romania	ROM	642	Romania	Upper middle income	IBRD	Europe & Central Asia	New Romanian leu	Euro area	Yes	45.943161	24.96676
Russia	RUS	643	Russian Federation	High income: nonOECD	IBRD	Europe & Central Asia	Russian ruble		No	61.52401	105.318756
Rwanda	RWA	646	Republic of Rwanda	Low income	IDA	Sub-Saharan Africa	Rwandan franc	HIPC	Yes	-1.940278	29.873888
Saint Helena	SHN	654		Others					No	-24.143474	-10.030696
Saint Kitts and Nevis	KNA	659	St. Kitts and Nevis	High income: nonOECD	IBRD	Latin America & Caribbean	East Caribbean dollar		Yes	17.357822	-62.782998
Saint Lucia	LCA	662	St. Lucia	Upper middle income	Blend	Latin America & Caribbean	East Caribbean dollar		Yes	13.909444	-60.978893
Saint Pierre and Miquelon	SPM	666		Others					No	46.941936	-56.27111
Saint Vincent and the Grenadines	VCT	670	St. Vincent and the Grenadines	Upper middle income	Blend	Latin America & Caribbean	East Caribbean dollar		Yes	12.984305	-61.287228
Samoa	WSM	882	Samoa	Lower middle income	IDA	East Asia & Pacific	Samoan tala		No	-13.759029	-172.104629
San Marino	SMR	674	Republic of San Marino	High income: nonOECD		Europe & Central Asia	Euro		No	43.94236	12.457777
Saudi Arabia	SAU	682	Kingdom of Saudi Arabia	High income: nonOECD		Middle East & North Africa	Saudi Arabian riyal		Yes	23.885942	45.079162
Senegal	SEN	686	Republic of Senegal	Lower middle income	IDA	Sub-Saharan Africa	CFA franc	HIPC	Yes	14.497401	-14.452362
Serbia	SER	891		Others					No	44.016521	21.005859
Seychelles	SYC	690	Republic of Seychelles	High income: nonOECD	IBRD	Sub-Saharan Africa	Seychelles rupee		No	-4.679574	55.491977
